                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.98006,                0.63379,                 1.1893,                0.94275,                0.93779,                0.97009,                 0.7527,                0.81643,                0.44563,                 1.0281,              0.0047293,              0.0047293,              0.0047293
                     98,                0.97204,                0.62749,                 1.1837,                0.95265,                0.94283,                0.97582,                0.75571,                 0.8483,                0.42789,                 1.0396,              0.0046843,              0.0046843,              0.0046843
                     99,                0.98888,                0.63616,                 1.1903,                0.94189,                0.92794,                0.96753,                0.72387,                0.90935,                0.46384,                 1.0776,              0.0046394,              0.0046394,              0.0046394
                    100,                0.98556,                0.63349,                 1.1943,                0.93936,                0.92587,                0.96463,                0.73272,                0.88153,                0.46903,                 1.0696,              0.0045944,              0.0045944,              0.0045944
                    101,                0.96879,                0.62252,                 1.1817,                0.94882,                0.94617,                0.97445,                0.76934,                 0.7741,                0.42488,                 1.0103,              0.0045495,              0.0045495,              0.0045495
                    102,                0.96478,                0.62372,                 1.1807,                0.95657,                 0.9375,                0.97532,                0.76563,                0.79468,                0.43134,                 1.0171,              0.0045045,              0.0045045,              0.0045045
                    103,                0.96669,                0.61938,                 1.1815,                0.95685,                0.93371,                0.97224,                0.74326,                0.85263,                0.43764,                 1.0424,              0.0044595,              0.0044595,              0.0044595
                    104,                0.96815,                0.61856,                  1.179,                 0.9484,                0.94307,                0.97492,                0.75297,                0.82513,                0.44085,                 1.0342,              0.0044146,              0.0044146,              0.0044146
                    105,                0.95997,                0.61457,                 1.1778,                0.95332,                0.93949,                0.97342,                0.76318,                0.78234,                0.42775,                   1.01,              0.0043696,              0.0043696,              0.0043696
                    106,                0.96235,                0.62158,                 1.1787,                0.94976,                0.93352,                0.97087,                0.75944,                0.78228,                0.43951,                 1.0089,              0.0043247,              0.0043247,              0.0043247
                    107,                0.96058,                0.61772,                 1.1755,                0.95286,                0.94528,                0.97529,                0.76619,                0.78402,                0.42288,                  1.014,              0.0042797,              0.0042797,              0.0042797
                    108,                0.95664,                0.61399,                 1.1724,                0.95385,                0.94092,                0.97251,                0.76127,                0.79408,                0.42521,                 1.0086,              0.0042348,              0.0042348,              0.0042348
                    109,                 0.9556,                0.60852,                 1.1709,                0.93668,                0.93312,                0.96921,                0.74297,                0.83948,                0.46268,                 1.0426,              0.0041898,              0.0041898,              0.0041898
                    110,                0.95962,                0.61518,                 1.1736,                 0.9495,                0.94631,                0.97577,                0.75646,                0.79667,                0.41856,                 1.0105,              0.0041449,              0.0041449,              0.0041449
                    111,                0.95463,                0.61319,                 1.1707,                0.94952,                0.95343,                0.97636,                0.76267,                0.80141,                 0.4154,                 1.0134,              0.0040999,              0.0040999,              0.0040999
                    112,                0.95558,                0.61188,                 1.1733,                0.94786,                0.94172,                0.97266,                0.76562,                0.77646,                0.42744,                 1.0062,              0.0040549,              0.0040549,              0.0040549
                    113,                0.95271,                0.60855,                 1.1731,                0.95288,                0.93567,                0.96901,                0.74735,                 0.8264,                 0.4419,                 1.0331,                0.00401,                0.00401,                0.00401
                    114,                0.95388,                 0.6108,                 1.1753,                0.94257,                0.94572,                0.97318,                0.76037,                0.80002,                0.43049,                 1.0168,               0.003965,               0.003965,               0.003965
                    115,                0.94679,                0.60006,                 1.1665,                 0.9498,                0.94832,                0.97597,                0.76009,                0.79373,                0.41534,                 1.0115,              0.0039201,              0.0039201,              0.0039201
                    116,                0.94286,                0.60035,                 1.1633,                0.95446,                0.93949,                0.97396,                0.75798,                0.80524,                0.42425,                 1.0156,              0.0038751,              0.0038751,              0.0038751
                    117,                0.94188,                0.59928,                 1.1655,                0.95682,                0.93638,                0.97338,                 0.7615,                0.79642,                0.42088,                 1.0091,              0.0038302,              0.0038302,              0.0038302
                    118,                0.94774,                0.60051,                 1.1685,                0.95953,                0.94234,                0.97475,                0.76424,                0.78831,                0.41528,                 1.0091,              0.0037852,              0.0037852,              0.0037852
                    119,                 0.9462,                0.60541,                 1.1717,                0.95018,                0.94498,                0.97328,                0.76636,                0.79212,                0.42103,                 1.0096,              0.0037403,              0.0037403,              0.0037403
                    120,                0.94404,                0.60147,                 1.1668,                0.95829,                0.94454,                0.97695,                0.77302,                 0.7757,                0.40967,                 1.0033,              0.0036953,              0.0036953,              0.0036953
                    121,                0.94424,                0.59745,                 1.1667,                0.95645,                0.94572,                0.97467,                0.77415,                0.77386,                0.41082,                 1.0077,              0.0036504,              0.0036504,              0.0036504
                    122,                0.94304,                0.59695,                 1.1639,                0.95572,                0.94394,                0.97493,                0.76893,                0.78325,                0.41291,                 1.0072,              0.0036054,              0.0036054,              0.0036054
                    123,                0.94108,                0.59607,                 1.1591,                0.95719,                0.94261,                0.97554,                0.77307,                0.77093,                0.41308,                 1.0014,              0.0035604,              0.0035604,              0.0035604
                    124,                0.93322,                0.58895,                 1.1564,                0.95773,                0.95088,                 0.9764,                0.77465,                0.76816,                0.41145,                0.99956,              0.0035155,              0.0035155,              0.0035155
                    125,                0.93314,                0.58958,                 1.1548,                0.95837,                0.94691,                0.97756,                0.78045,                0.75261,                0.40627,                0.98685,              0.0034705,              0.0034705,              0.0034705
                    126,                0.93617,                0.59156,                 1.1579,                0.95207,                 0.9397,                0.97272,                0.76991,                0.76812,                0.42006,                 1.0044,              0.0034256,              0.0034256,              0.0034256
                    127,                0.93473,                0.59115,                 1.1587,                0.95769,                0.95338,                0.97887,                0.78162,                0.75168,                0.39813,                0.98818,              0.0033806,              0.0033806,              0.0033806
                    128,                0.93539,                0.58977,                 1.1611,                0.94814,                0.94142,                0.97281,                0.76975,                0.76938,                0.41746,                 1.0036,              0.0033357,              0.0033357,              0.0033357
                    129,                0.92945,                0.59131,                 1.1594,                0.94211,                0.94098,                0.97305,                0.76795,                0.76682,                 0.4264,                 1.0044,              0.0032907,              0.0032907,              0.0032907
                    130,                0.93543,                0.59452,                 1.1546,                0.95716,                0.95032,                0.97734,                0.77556,                0.76864,                0.41288,                0.99218,              0.0032458,              0.0032458,              0.0032458
                    131,                0.92248,                0.58242,                 1.1484,                0.95074,                0.94736,                0.97407,                0.76937,                0.78082,                0.41908,                 1.0036,              0.0032008,              0.0032008,              0.0032008
                    132,                0.92528,                0.58215,                 1.1524,                0.95588,                0.94557,                0.97448,                0.76897,                0.78072,                0.41454,                 1.0034,              0.0031558,              0.0031558,              0.0031558
                    133,                0.92296,                0.58046,                 1.1508,                0.95766,                0.94595,                0.97687,                0.77434,                0.78071,                0.40874,                 1.0029,              0.0031109,              0.0031109,              0.0031109
                    134,                0.92132,                0.58493,                  1.151,                0.95162,                0.94127,                0.97358,                0.76885,                0.78264,                 0.4207,                 1.0036,              0.0030659,              0.0030659,              0.0030659
                    135,                0.92286,                0.58463,                 1.1498,                0.94921,                0.94244,                0.97346,                0.77223,                0.77431,                0.41857,                0.99931,               0.003021,               0.003021,               0.003021
                    136,                0.92346,                0.58049,                 1.1485,                0.95243,                0.93234,                0.97243,                0.76655,                 0.7814,                0.42315,                 1.0009,               0.002976,               0.002976,               0.002976
